id_acc	anno	coverage	mean
TET_embryoid_body_Plate1_B04	all	7095935	17.0471544623788
TET_embryoid_body_Plate1_H04	all	17507474	15.1943107269501
TET_embryoid_body_Plate1_E03	all	7348079	17.8789857866253
TET_embryoid_body_Plate1_D03	all	8384350	19.3338183639757
TET_embryoid_body_Plate1_G03	all	6240993	20.3914345040925
TET_embryoid_body_Plate1_F03	all	10761389	18.691323211158
TET_embryoid_body_Plate1_A03	all	6042572	18.6989745426285
TET_embryoid_body_Plate1_C03	all	11730004	18.1533868189644
TET_embryoid_body_Plate1_B03	all	4912221	19.7091906084844
TET_embryoid_body_Plate1_H03	all	3929907	21.10085556732
TET_embryoid_body_Plate1_E02	all	6291480	17.0834207531455
TET_embryoid_body_Plate1_D02	all	9508977	16.6864321998045
TET_embryoid_body_Plate1_G02	all	1666517	18.7431031306611
TET_embryoid_body_Plate1_F02	all	7528796	16.5278219784412
TET_embryoid_body_Plate1_A02	all	2055357	20.7588754654301
TET_embryoid_body_Plate1_C02	all	3863643	17.7737953532456
TET_embryoid_body_Plate1_B02	all	4475270	18.9074178764633
TET_embryoid_body_Plate1_H02	all	3680369	17.6753472274112
TET_embryoid_body_Plate1_E05	all	7591677	18.6755706282024
TET_embryoid_body_Plate1_D05	all	6091583	20.0909681440768
TET_embryoid_body_Plate1_G05	all	4868366	19.5282359625386
TET_embryoid_body_Plate1_F05	all	10571392	16.320225378077
TET_embryoid_body_Plate1_A05	all	9011524	19.9568796576473
TET_embryoid_body_Plate1_C05	all	14629898	15.6544837154709
TET_embryoid_body_Plate1_B05	all	7361199	20.1003260474279
TET_embryoid_body_Plate1_H05	all	5340370	17.5575662360473
TET_embryoid_body_Plate1_E07	all	10181746	20.2418131428539
TET_embryoid_body_Plate1_D07	all	4921379	20.7148849946326
TET_embryoid_body_Plate1_G07	all	5769802	19.9408749208378
TET_embryoid_body_Plate1_F07	all	5259211	19.7186231927185
TET_embryoid_body_Plate1_A07	all	5692246	23.6080450493531
TET_embryoid_body_Plate1_C07	all	7218446	18.0490371473306
TET_embryoid_body_Plate1_B07	all	10398897	21.8858596253045
TET_embryoid_body_Plate1_H07	all	9288914	18.7917123573326
TET_embryoid_body_Plate1_E12	all	4922021	21.6434671855321
TET_embryoid_body_Plate1_G12	all	11127272	19.0326703616124
TET_embryoid_body_Plate1_F12	all	5263151	20.5009318562207
TET_embryoid_body_Plate1_A12	all	3742598	24.864038296392
TET_embryoid_body_Plate1_C12	all	5840056	19.3164072399306
TET_embryoid_body_Plate1_B12	all	8958851	20.8980258740769
TET_embryoid_body_Plate1_E11	all	5304213	21.7380410628306
TET_embryoid_body_Plate1_D11	all	10743991	20.7616238695658
TET_embryoid_body_Plate1_G11	all	17425919	19.6491559498239
TET_embryoid_body_Plate1_F11	all	6730243	18.3367079019287
TET_embryoid_body_Plate1_A11	all	6750517	25.4796928887076
TET_embryoid_body_Plate1_C11	all	12817210	19.5735733439649
TET_embryoid_body_Plate1_B11	all	8416470	19.6564236550478
TET_embryoid_body_Plate1_H11	all	9925760	21.4136751241215
